chr	start	end	length	sequence	chip.sample001.tsv	chip.sample002.tsv	chip.sample003.tsv	chip.sample004.tsv	chip.sample005.tsv	chip.sample006.tsv	chip.sample007.tsv	chip.sample008.tsv	chip.sample009.tsv	chip.sample010.tsv
ENSG00000005175	12	47661248	47706061	44813	NA	67	91	164	326	379	326	498	778	507	388
ENSG00000005187	16	20610242	20797581	187339	NA	26	42	64	14	36	32	26	31	231	95
ENSG00000005189	16	20806428	20849668	43240	NA	6	11	18	11	32	23	57	50	58	54
ENSG00000005194	16	57428168	57447528	19360	NA	128	92	210	225	355	174	260	358	522	466
ENSG00000005206	19	2328614	2354806	26192	NA	55	118	101	164	513	293	363	159	431	642
ENSG00000005238	9	35104111	35116341	12230	NA	115	106	200	148	71	92	108	113	553	451
ENSG00000005243	17	48026166	48038030	11864	NA	24	28	57	29	11	14	26	13	158	119
ENSG00000005249	7	107044648	107161811	117163	NA	78	73	88	203	122	106	179	196	386	326
ENSG00000005302	X	11758158	11775753	17595	NA	151	169	179	575	1227	1061	1049	922	888	855
ENSG00000005339	16	3725053	3880726	155673	NA	319	361	511	450	605	986	822	1006	2022	1843
ENSG00000005379	17	58301227	58328760	27533	NA	136	138	154	270	250	330	250	202	816	1187
ENSG00000005381	17	58269855	58280935	11080	NA	6	4	3	83	5	4	49	1	9	9
ENSG00000005421	7	95297675	95324707	27032	NA	2	1	1	0	0	2	0	0	16	15
ENSG00000005436	2	75651999	75710989	58990	NA	32	47	94	106	155	135	130	191	319	263
ENSG00000005448	2	74421677	74425755	4078	NA	29	39	44	83	84	82	76	89	193	410
ENSG00000005469	7	87345680	87399795	54115	NA	55	53	116	98	119	106	111	101	400	256
ENSG00000005471	7	87401696	87480435	78739	NA	1	5	2	35	118	169	132	151	11	12
ENSG00000005483	7	105014178	105114361	100183	NA	363	409	531	373	709	1180	1115	1125	3003	2355
ENSG00000005486	7	75842601	75888926	46325	NA	364	318	536	314	142	198	179	151	1286	1408
ENSG00000005513	16	981807	986979	5172	NA	0	3	3	24	28	37	45	52	3	5
ENSG00000005700	6	82169982	82247754	77772	NA	229	228	509	404	524	556	521	804	1349	1127
ENSG00000005801	11	3339260	3379222	39962	NA	54	44	109	107	227	205	219	229	321	311
ENSG00000005810	13	77044654	77327050	282396	NA	217	191	387	814	1011	1689	1505	1818	1662	1288
ENSG00000005812	13	76992597	77027195	34598	NA	291	321	508	520	658	585	573	710	1775	1290
ENSG00000005844	16	30472657	30523185	50528	NA	311	338	339	1601	1528	1745	1652	1527	1324	1373
ENSG00000005882	17	50094736	50112152	17416	NA	70	59	107	68	46	81	58	50	372	357
ENSG00000005884	17	50055967	50090481	34514	NA	1601	1301	1951	120	87	134	76	97	5698	5029
ENSG00000005889	X	24149172	24216255	67083	NA	206	165	288	324	551	565	319	653	917	1204
ENSG00000005893	X	120427826	120469365	41539	NA	624	655	1190	1088	658	790	836	999	3455	2577
ENSG00000005961	17	44372179	44389505	17326	NA	12	17	3	4	2	1	4	7	115	42
ENSG00000005981	7	95478443	95540232	61789	NA	4	1	5	1	0	0	0	1	34	30
ENSG00000006007	16	19501688	19522145	20457	NA	211	302	379	243	127	169	191	251	1273	886
ENSG00000006015	19	18588684	18592336	3652	NA	10	87	43	66	131	61	62	46	138	109
ENSG00000006016	19	18572219	18607741	35522	NA	0	8	23	7	4	0	6	0	37	62
ENSG00000006025	17	47807371	47821834	14463	NA	91	106	123	176	249	283	217	172	450	359
ENSG00000006042	17	32927909	32945106	17197	NA	214	218	350	59	13	47	60	8	1406	1211
ENSG00000006047	17	7288251	7294615	6364	NA	1	1	3	0	5	6	5	3	6	13
ENSG00000006059	17	41346091	41350812	4721	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000006062	17	45263120	45317040	53920	NA	72	84	93	344	309	440	397	499	390	839
ENSG00000006071	11	17392884	17476845	83961	NA	6	2	11	2	0	3	3	7	5	22
ENSG00000006116	16	24255552	24362801	107249	NA	0	0	0	0	2	2	0	0	0	0
ENSG00000006118	11	60924462	60937159	12697	NA	35	34	65	32	14	16	35	24	163	106
ENSG00000006125	17	35578045	35726409	148364	NA	842	767	1372	982	966	1340	1084	1632	4439	3652
ENSG00000006128	7	97731907	97740472	8565	NA	0	0	3	0	0	0	0	0	0	0
ENSG00000006194	16	3263799	3301401	37602	NA	91	121	171	217	293	256	229	211	527	534
ENSG00000006210	16	57372457	57385048	12591	NA	607	613	1240	172	44	214	204	68	1725	2461
ENSG00000006282	17	50543057	50555852	12795	NA	149	123	256	347	203	279	269	151	856	865
ENSG00000006283	17	50561067	50627474	66407	NA	1	1	3	0	6	8	7	8	3	7
ENSG00000006327	16	3018444	3022383	3939	NA	42	113	183	8	5	13	25	6	107	560
ENSG00000006377	7	97005547	97011039	5492	NA	0	0	0	6	2	4	0	1	0	0
ENSG00000006432	14	70722525	70809534	87009	NA	62	64	103	34	86	106	101	115	455	409
ENSG00000006451	7	39623482	39708124	84642	NA	377	461	954	296	323	301	343	436	2094	1205
ENSG00000006453	7	98291650	98401068	109418	NA	55	83	156	11	35	12	32	12	436	751
ENSG00000006459	7	140084745	140177035	92290	NA	159	179	272	232	411	694	707	633	1136	794
ENSG00000006468	7	13891227	13991425	100198	NA	385	425	531	38	20	34	26	42	2386	1296
ENSG00000006530	7	141551188	141655244	104056	NA	70	82	149	174	297	312	265	281	590	525
ENSG00000006534	11	68008577	68029282	20705	NA	296	391	501	137	25	45	44	32	2054	2660
ENSG00000006555	1	54779711	54801267	21556	NA	24	35	65	17	57	31	27	18	138	104
ENSG00000006576	7	77798791	77957503	158712	NA	114	107	186	307	539	487	623	657	611	476
ENSG00000006606	7	75769532	75789896	20364	NA	1	0	1	23	0	4	0	0	1	1
ENSG00000006607	2	241356242	241494841	138599	NA	108	112	150	215	168	263	360	534	644	745
ENSG00000006611	11	17493894	17544416	50522	NA	0	0	3	0	0	0	5	3	2	5
ENSG00000006625	7	30496620	30504844	8224	NA	9	18	66	19	84	16	59	34	106	95
ENSG00000006634	7	87876215	87909541	33326	NA	22	24	38	94	196	135	261	383	112	90
ENSG00000006638	19	3594505	3606840	12335	NA	13	18	21	11	9	10	6	6	47	38
ENSG00000006652	7	112422967	112481017	58050	NA	178	175	267	149	280	190	240	248	890	897
ENSG00000006659	19	39704305	39709444	5139	NA	0	0	0	0	1	0	0	0	1	2
ENSG00000006695	17	14069495	14208677	139182	NA	33	33	71	75	66	79	88	150	154	122
ENSG00000006704	7	74453789	74602604	148815	NA	69	43	73	32	6	16	16	9	256	224
ENSG00000006712	19	39385851	39391195	5344	NA	134	150	270	258	316	256	357	409	680	755
ENSG00000006715	7	38722962	38932394	209432	NA	259	238	420	407	446	496	449	668	1649	1158
ENSG00000006740	17	12789538	12991643	202105	NA	116	181	272	29	29	24	53	38	895	823
ENSG00000006744	17	12992390	13018187	25797	NA	166	169	249	354	359	357	447	613	774	703
ENSG00000006747	7	12570576	12660179	89603	NA	42	86	87	7	9	6	14	7	565	303
ENSG00000006756	X	2903969	2929351	25382	NA	220	205	382	104	59	101	62	66	787	1263
ENSG00000006757	X	7898246	7927739	29493	NA	41	71	123	70	76	62	38	103	199	268
ENSG00000006788	17	10298083	10373130	75047	NA	1	0	0	1	1	1	0	0	5	3
ENSG00000006831	12	1688573	1788678	100105	NA	309	365	481	418	361	400	449	635	1627	1531
ENSG00000006837	5	134286349	134371047	84698	NA	1	1	1	1	1	3	2	2	9	15
ENSG00000007001	2	157876701	158136154	259453	NA	0	0	0	1	0	1	0	3	5	3
ENSG00000007038	16	2817179	2826304	9125	NA	11	14	7	26	29	30	6	9	131	15
ENSG00000007047	19	45079287	45305283	225996	NA	53	90	113	98	94	74	102	81	375	289
ENSG00000007062	4	15963075	16084378	121303	NA	19	23	14	1	1	3	5	1	265	502
ENSG00000007080	19	17933015	17943991	10976	NA	20	99	106	102	68	36	88	60	215	190
ENSG00000007129	19	41549517	41586844	37327	NA	12	21	36	89	99	113	75	107	118	51
ENSG00000007168	17	2593209	2685615	92406	NA	611	555	932	691	969	951	982	1296	3238	3100
ENSG00000007171	17	27756765	27800499	43734	NA	30	6	51	18	28	8	23	12	58	72
ENSG00000007174	17	11598430	11969748	371318	NA	2	37	36	0	1	1	0	1	341	1244
ENSG00000007202	17	28614439	28645454	31015	NA	393	400	757	458	608	759	802	1044	2268	1742
ENSG00000007216	17	28473292	28497781	24489	NA	3	3	0	0	2	0	0	0	7	8
ENSG00000007237	17	9910608	10198551	287943	NA	238	274	503	395	169	323	273	484	1317	1343
ENSG00000007255	19	45162927	45178237	15310	NA	16	40	50	124	92	66	86	64	129	120
ENSG00000007264	19	3777969	3802129	24160	NA	17	69	26	107	66	84	66	12	114	111
ENSG00000007306	19	41673306	41706976	33670	NA	0	0	0	0	3	0	2	0	1	1
ENSG00000007312	17	63928739	63932354	3615	NA	5	11	25	704	1479	1412	1586	2496	43	107
ENSG00000007314	17	63938553	63972918	34365	NA	7	1	3	6	16	26	24	20	11	6
ENSG00000007341	1	112523517	112620825	97308	NA	40	26	38	31	58	50	41	46	184	180
ENSG00000007350	X	154295670	154330350	34680	NA	47	1	10	8	9	9	5	7	18	9
ENSG00000007372	11	31784791	31817961	33170	NA	13	8	27	15	24	25	18	19	74	72
ENSG00000007376	16	784973	788397	3424	NA	20	38	40	86	81	63	75	108	85	111
ENSG00000007384	16	58058	76355	18297	NA	164	204	202	84	35	58	98	32	851	765
ENSG00000007392	16	188968	229463	40495	NA	194	173	269	330	764	588	507	451	1484	1435
ENSG00000007402	3	50362798	50504244	141446	NA	603	817	1104	19	35	28	18	12	2966	2592
ENSG00000007516	16	1333600	1349441	15841	NA	32	39	34	26	34	43	9	24	177	561
ENSG00000007520	16	1349239	1351911	2672	NA	35	73	89	143	93	59	64	78	225	161
ENSG00000007541	16	566994	584136	17142	NA	114	150	170	130	110	110	96	97	427	584
ENSG00000007545	16	1612324	1677908	65584	NA	85	85	87	103	139	99	95	112	394	331
ENSG00000007866	6	35473596	35497076	23480	NA	99	121	183	46	22	43	47	22	548	653
ENSG00000007908	1	169722640	169764705	42065	NA	8	15	51	3	11	100	140	127	64	192
ENSG00000007923	1	6634167	6701924	67757	NA	83	92	161	133	217	189	218	246	465	416
ENSG00000007933	1	171090876	171117819	26943	NA	88	45	80	61	83	16	56	101	680	344
ENSG00000007944	6	16129124	16148248	19124	NA	322	249	442	416	403	476	293	270	865	768
ENSG00000007952	X	100843323	100874345	31022	NA	3	1	3	3	10	0	6	3	8	2
ENSG00000007968	1	23506429	23531220	24791	NA	5	7	9	34	192	75	306	385	24	26
ENSG00000008018	6	170535116	170553341	18225	NA	260	305	573	801	783	509	763	1017	1316	1203
ENSG00000008056	X	47571897	47619853	47956	NA	9	1	8	0	0	3	1	5	15	7
ENSG00000008083	6	15246295	15522040	275745	NA	83	87	134	206	288	385	266	329	574	504
ENSG00000008086	X	18425582	18653629	228047	NA	173	135	249	59	54	92	54	48	1016	764
ENSG00000008118	1	209583716	209613938	30222	NA	1	4	5	2	4	3	5	3	16	16
ENSG00000008128	1	1702729	1724324	21595	NA	0	5	3	5	23	6	14	5	20	30
ENSG00000008130	1	1751231	1780457	29226	NA	269	317	432	747	644	683	680	983	1194	1252
ENSG00000008196	6	50818722	50847613	28891	NA	0	0	0	0	0	0	0	0	0	3
ENSG00000008197	6	50713827	50772988	59161	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	3	38039204	38124025	84821	NA	14	48	31	20	20	28	19	15	361	2145
ENSG00000008256	7	6161775	6272644	110869	NA	275	271	390	195	100	176	150	84	1303	1171
ENSG00000008277	7	87934142	88202889	268747	NA	29	28	49	120	56	150	86	123	139	206
ENSG00000008282	7	106090502	106112576	22074	NA	469	404	845	611	971	802	1169	1591	2292	1766
ENSG00000008283	17	63432303	63446378	14075	NA	317	322	497	174	99	113	89	92	1267	1533
ENSG00000008294	17	50962173	51120865	158692	NA	623	586	1053	418	457	657	664	687	4205	3535
ENSG00000008300	3	48636468	48662915	26447	NA	13	7	6	38	76	60	64	54	52	57
ENSG00000008311	7	122075646	122144280	68634	NA	112	84	126	69	76	135	115	51	836	864
ENSG00000008323	12	6310435	6328506	18071	NA	7	7	16	3	0	2	3	2	58	55
ENSG00000008324	3	42581839	42595114	13275	NA	21	35	61	119	194	113	190	224	171	139
ENSG00000008382	19	4343526	4360086	16560	NA	10	21	38	35	23	17	25	20	113	76
ENSG00000008394	12	16347141	16609259	262118	NA	238	333	644	11	8	5	14	23	2000	1512
ENSG00000008405	12	106991363	107093829	102466	NA	117	96	256	91	136	139	118	89	495	1308
ENSG00000008438	19	46019152	46023065	3913	NA	3	1	3	1	1	1	4	0	4	4
ENSG00000008441	19	12995607	13098796	103189	NA	448	589	1083	84	42	127	173	60	3377	2250
ENSG00000008513	8	133454847	133571940	117093	NA	280	360	617	609	766	958	622	869	1806	1414
ENSG00000008516	16	3046680	3060726	14046	NA	16	41	25	74	42	52	77	36	57	81
ENSG00000008517	16	3065296	3082192	16896	NA	159	391	943	882	736	481	781	537	1168	1288
ENSG00000008710	16	2088709	2135898	47189	NA	193	404	339	248	271	285	276	153	1200	1161
ENSG00000008735	22	50600684	50613981	13297	NA	3	9	16	2	5	3	3	0	32	31
ENSG00000008838	17	40019096	40061215	42119	NA	229	206	325	329	401	456	446	557	991	1245
ENSG00000008853	8	22987416	23020199	32783	NA	392	367	697	181	263	255	243	397	1208	1768
ENSG00000008869	2	36968382	37084342	115960	NA	206	163	271	313	551	705	608	726	1207	1029
ENSG00000008952	3	169966634	169998373	31739	NA	615	680	1272	1065	1288	1149	1283	1728	4751	3163
ENSG00000008988	8	56067294	56074581	7287	NA	720	1166	2619	5209	8185	4114	5316	4998	8844	4861
ENSG00000009307	1	114716912	114758676	41764	NA	2116	2030	3498	3057	3673	3671	3717	5462	12904	8717
ENSG00000009335	7	157138912	157269372	130460	NA	337	324	591	546	532	646	690	1012	1724	1305
ENSG00000009413	6	111299027	111483715	184688	NA	189	195	414	206	272	376	400	478	1474	1234
ENSG00000009694	X	124375902	124963817	587915	NA	20	19	10	17	35	61	99	24	172	140
ENSG00000009709	1	18631005	18748866	117861	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000009724	1	11026522	11047233	20711	NA	19	21	8	7	52	52	46	19	124	133
ENSG00000009765	6	150368891	150405969	37078	NA	10	12	11	27	0	19	2	14	46	63
ENSG00000009780	1	27725978	27763122	37144	NA	74	51	79	73	108	90	103	129	413	473
ENSG00000009790	1	209756031	209782320	26289	NA	50	94	75	527	1407	1251	1195	820	311	296
ENSG00000009830	14	77274955	77320884	45929	NA	60	67	119	49	80	83	80	71	419	369
ENSG00000009844	6	142147161	142224689	77528	NA	124	123	254	299	313	295	403	601	731	556
ENSG00000009950	7	73593193	73624543	31350	NA	8	23	19	3	4	0	7	3	73	64
ENSG00000009954	7	73440397	73522278	81881	NA	360	381	598	635	795	951	1123	1653	2217	1621
ENSG00000010017	6	13621497	13711564	90067	NA	107	155	241	224	278	262	321	468	884	678
ENSG00000010030	6	36354090	36387800	33710	NA	10	25	25	58	12	40	26	65	72	69
ENSG00000010072	1	231337103	231355023	17920	NA	32	35	59	81	89	109	129	157	189	230
ENSG00000010165	1	171781663	171814023	32360	NA	119	118	218	240	254	285	246	372	572	400
ENSG00000010219	12	4562203	4615302	53099	NA	27	38	82	77	98	78	75	72	239	157
ENSG00000010244	17	32350116	32381886	31770	NA	402	382	549	934	1907	1631	1750	1767	3215	2507
ENSG00000010256	3	48599001	48610976	11975	NA	268	278	458	563	401	386	444	637	1150	1104
ENSG00000010270	7	38178221	38230671	52450	NA	116	203	271	219	169	156	179	202	805	660
ENSG00000010278	12	6199714	6238271	38557	NA	1145	1490	2678	268	197	159	241	251	6766	7249
ENSG00000010282	3	42692662	42702827	10165	NA	0	3	0	0	0	1	1	0	6	27
ENSG00000010292	12	6493355	6531955	38600	NA	164	149	218	412	982	691	1246	1925	901	717
ENSG00000010295	12	6538374	6556083	17709	NA	137	163	164	401	386	387	311	250	745	550
ENSG00000010310	19	45668243	45683724	15481	NA	5	28	18	35	46	39	29	22	163	413
ENSG00000010318	3	52410560	52423641	13081	NA	27	24	31	34	69	55	83	56	138	115
ENSG00000010319	3	52433052	52445085	12033	NA	313	437	231	60	15	52	62	36	847	447
ENSG00000010322	3	52455117	52493071	37954	NA	499	505	588	644	820	1058	811	658	3023	2513
ENSG00000010327	3	52495337	52524495	29158	NA	339	697	633	873	384	681	421	266	1514	1844
ENSG00000010361	19	49806868	49817376	10508	NA	8	24	34	37	45	32	41	39	173	248
ENSG00000010379	12	220620	262873	42253	NA	6	7	3	0	1	0	0	0	43	21
ENSG00000010404	X	149476989	149521096	44107	NA	686	661	1070	921	924	1111	913	1120	3965	3632
ENSG00000010438	9	33750465	33799231	48766	NA	0	0	0	0	0	0	2	0	0	1
ENSG00000010539	16	3222324	3236221	13897	NA	24	35	48	94	163	89	92	135	195	149
ENSG00000010610	12	6786857	6820808	33951	NA	608	565	799	2439	1679	2179	1501	2027	2573	2420
ENSG00000010626	12	6873568	6914243	40675	NA	17	47	58	22	43	30	21	38	317	689
ENSG00000010671	X	101349446	101390796	41350	NA	103	116	244	396	858	997	896	1394	904	344
ENSG00000010704	6	26087280	26098343	11063	NA	52	60	77	118	53	64	43	71	403	238
ENSG00000010803	1	41027199	41242154	214955	NA	120	125	192	129	169	173	174	203	793	583
ENSG00000010810	6	111660331	111873452	213121	NA	322	351	604	1379	1672	1486	1297	2323	1360	1314
ENSG00000010818	6	142751466	142945201	193735	NA	166	137	307	245	502	890	758	978	916	1108
ENSG00000010932	1	171248470	171285978	37508	NA	7	5	10	3	6	5	10	8	21	18
ENSG00000011007	1	23743154	23762059	18905	NA	246	277	449	269	310	339	328	456	1749	958
ENSG00000011009	1	23790969	23795539	4570	NA	119	146	209	397	286	274	256	344	584	610
ENSG00000011021	1	11806095	11843144	37049	NA	106	123	188	151	219	273	271	229	910	696
ENSG00000011028	17	62627400	62693597	66197	NA	689	525	824	297	77	118	137	95	1971	2130
ENSG00000011052	17	51153589	51171744	18155	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000011083	5	150189956	150222788	32832	NA	0	0	0	1	4	4	4	7	3	6
ENSG00000011105	12	3077354	3286564	209210	NA	352	268	459	148	73	130	121	48	1615	1202
ENSG00000011114	14	93237549	93333092	95543	NA	156	159	273	192	223	330	304	334	1152	808
ENSG00000011132	19	3750818	3761699	10881	NA	28	50	39	113	105	100	98	93	123	138
ENSG00000011143	17	58205436	58219605	14169	NA	35	37	38	56	82	114	73	85	260	320
ENSG00000011198	3	43690112	43734371	44259	NA	45	73	151	45	41	54	55	86	575	343
ENSG00000011201	X	8528873	8732187	203314	NA	1225	716	2364	111	20	56	73	77	3485	5746
ENSG00000011243	19	15380047	15419141	39094	NA	80	134	156	198	337	272	294	170	640	579
ENSG00000011258	17	51177424	51260163	82739	NA	87	90	148	185	318	277	341	358	704	447
ENSG00000011260	17	51260527	51297936	37409	NA	72	115	164	276	289	269	344	481	456	341
ENSG00000011275	7	5620046	5781739	161693	NA	187	159	272	564	677	770	665	637	948	880
ENSG00000011295	17	15999379	16045015	45636	NA	159	229	335	214	256	209	254	265	966	767
ENSG00000011304	19	797074	812327	15253	NA	497	835	857	1062	1328	1318	1628	1915	2974	2533
ENSG00000011332	19	38211005	38229714	18709	NA	0	0	0	0	2	1	3	5	7	8
ENSG00000011347	11	61515312	61581148	65836	NA	18	12	22	7	6	16	17	3	110	87
ENSG00000011376	3	45388505	45549421	160916	NA	44	61	121	118	133	160	148	294	315	245
ENSG00000011405	11	17077729	17207983	130254	NA	372	361	491	372	424	572	498	655	2532	1690
ENSG00000011422	19	43646094	43670547	24453	NA	96	141	384	75	35	68	95	45	691	543
ENSG00000011426	7	36389805	36453791	63986	NA	9	11	28	33	141	52	253	401	52	45
ENSG00000011451	19	15419979	15449951	29972	NA	99	158	214	150	157	170	186	170	507	478
